,userID,itemID,rating
0,100,0,1
1,1007,0,1
2,10089,0,0
3,1011,0,0
4,10171,0,9
5,1021,0,1
6,10226,0,1
7,1027,0,1
8,10271,0,1
9,10308,0,3
10,10311,0,1
11,10344,0,1
12,10354,0,1
13,10361,0,1
14,10420,0,1
15,1043,0,1
16,10433,0,1
17,10436,0,1
18,10460,0,1
19,10482,0,2
20,10492,0,1
21,10495,0,2
22,10500,0,2
23,10518,0,3
24,10520,0,1
25,10525,0,0
26,1053,0,0
27,10553,0,1
28,106,0,0
29,10609,0,1
30,10663,0,1
31,10684,0,3
32,1070,0,0
33,1071,0,1
34,10729,0,1
35,10748,0,1
36,10764,0,4
37,10767,0,1
38,10825,0,1
39,10843,0,3
40,10850,0,1
41,1086,0,1
42,10886,0,1
43,10910,0,1
44,10930,0,1
45,10955,0,0
46,11029,0,1
47,11043,0,1
48,11137,0,0
49,11139,0,1
50,11188,0,0
51,11211,0,1
52,1130,0,1
53,11308,0,2
54,1135,0,1
55,11365,0,1
56,11381,0,1
57,114,0,1
58,11402,0,1
59,11444,0,0
60,1145,0,1
61,11489,0,1
62,11518,0,1
63,11594,0,0
64,11609,0,1
65,11614,0,1
66,1162,0,0
67,11622,0,1
68,11696,0,1
69,11701,0,0
70,11731,0,1
71,11740,0,1
72,11746,0,3
73,118,0,1
74,1189,0,0
75,11903,0,3
76,1195,0,1
77,11956,0,1
78,11991,0,0
79,12025,0,1
80,12138,0,1
81,1219,0,0
82,1221,0,0
83,12269,0,1
84,12321,0,0
85,12354,0,1
86,12385,0,1
87,1241,0,1
88,12446,0,1
89,12449,0,0
90,12458,0,1
91,12472,0,1
92,12474,0,0
93,12482,0,1
94,12493,0,1
95,12531,0,1
96,12542,0,0
97,12571,0,1
98,12601,0,0
99,12618,0,1
100,12637,0,0
101,12650,0,0
102,12661,0,1
103,12665,0,0
104,12674,0,1
105,12692,0,1
106,12698,0,0
107,127,0,0
108,12706,0,1
109,12719,0,1
110,12730,0,1
111,12732,0,1
112,12752,0,1
113,12761,0,1
114,12788,0,1
115,12789,0,1
116,12793,0,1
117,12802,0,1
118,12808,0,1
119,12814,0,0
120,12820,0,1
121,12824,0,1
122,12827,0,2
123,12838,0,1
124,12871,0,1
125,12912,0,3
126,1293,0,0
127,1294,0,0
128,12953,0,1
129,12954,0,1
130,12958,0,1
131,12967,0,1
132,1297,0,0
133,12980,0,1
134,12983,0,0
135,13007,0,1
136,13017,0,1
137,13024,0,0
138,13028,0,1
139,13031,0,1
140,13036,0,1
141,13057,0,1
142,13078,0,1
143,13101,0,1
144,13102,0,1
145,13114,0,1
146,13118,0,3
147,13120,0,1
148,13125,0,1
149,13131,0,1
150,13140,0,0
151,13144,0,2
152,13145,0,1
153,13151,0,1
154,13156,0,1
155,13163,0,1
156,13166,0,1
157,13172,0,1
158,13210,0,1
159,13213,0,1
160,13218,0,0
161,13220,0,1
162,13221,0,0
163,13234,0,2
164,13244,0,1
165,13251,0,6
166,13256,0,1
167,13265,0,1
168,13268,0,1
169,13273,0,1
170,13275,0,1
171,13279,0,1
172,1328,0,1
173,13284,0,1
174,13289,0,0
175,13294,0,1
176,13297,0,1
177,13299,0,1
178,13303,0,1
179,13304,0,1
180,13305,0,1
181,13316,0,1
182,13345,0,1
183,13371,0,1
184,13383,0,1
185,13384,0,1
186,13389,0,1
187,13393,0,2
188,13397,0,1
189,13402,0,1
190,13404,0,1
191,13409,0,3
192,13412,0,1
193,13415,0,1
194,13416,0,1
195,13428,0,1
196,13429,0,1
197,13432,0,1
198,13440,0,2
199,13450,0,1
200,13455,0,2
201,13456,0,1
202,1346,0,2
203,13466,0,1
204,13470,0,1
205,13478,0,1
206,13479,0,1
207,13497,0,2
208,13499,0,1
209,13502,0,1
210,13515,0,1
211,13517,0,0
212,13518,0,0
213,13529,0,1
214,13542,0,1
215,13543,0,0
216,13545,0,1
217,13546,0,1
218,13548,0,1
219,13555,0,1
220,13556,0,1
221,13562,0,0
222,1357,0,2
223,13586,0,1
224,13590,0,1
225,13594,0,1
226,13610,0,1
227,13625,0,1
228,13655,0,2
229,13656,0,2
230,13658,0,1
231,13665,0,1
232,13682,0,0
233,13683,0,2
234,13688,0,1
235,13724,0,1
236,13726,0,1
237,13742,0,1
238,13743,0,1
239,13745,0,1
240,13752,0,0
241,13756,0,0
242,13766,0,1
243,13769,0,1
244,13775,0,1
245,13778,0,1
246,13780,0,1
247,13793,0,1
248,138,0,1
249,13800,0,1
250,13802,0,1
251,1381,0,1
252,13816,0,0
253,13818,0,1
254,13831,0,2
255,13840,0,1
256,13851,0,1
257,13865,0,1
258,13869,0,1
259,13871,0,1
260,13880,0,0
