,customerId,productId,purchase_count
0,0,1,2
1,0,13,1
2,0,136,2
3,0,157,1
4,0,19,3
5,0,198,1
6,0,20,1
7,0,216,1
8,0,255,2
9,0,256,1
10,0,260,5
11,0,31,2
12,0,52,1
13,0,69,2
14,0,93,3
15,1,107,1
16,1,111,1
17,1,122,1
18,1,135,1
19,1,146,1
20,1,151,3
21,1,152,3
22,1,2,6
23,1,216,1
24,1,227,1
25,1,23,1
26,1,241,1
27,1,25,1
28,1,274,1
29,1,285,1
30,1,29,1
31,1,293,1
32,1,296,1
33,1,61,2
34,1,68,2
35,1,86,3
36,10,101,1
37,10,104,1
38,10,14,2
39,10,153,1
40,10,16,1
41,10,166,1
42,10,175,1
43,10,190,3
44,10,199,1
45,10,2,3
46,10,201,2
47,10,24,2
48,10,260,1
49,10,266,2
50,10,290,1
51,10,35,2
52,10,36,1
53,10,49,1
54,10,55,2
55,10,61,2
56,10,66,4
57,10,77,2
58,10,78,1
59,10,79,1
60,10,84,1
61,10,94,11
62,100,0,3
63,100,118,3
64,100,201,2
65,100,24,3
66,100,27,6
67,100,282,4
68,100,51,1
69,100,6,1
70,100,62,2
71,100,67,2
72,1000,150,1
73,1000,33,1
74,10000,246,1
75,10000,294,3
76,10000,91,2
77,10001,1,2
78,10001,125,1
79,10001,294,3
80,10002,205,1
81,10003,123,1
82,10003,178,2
83,10003,225,3
84,10003,34,3
85,10003,4,3
86,10003,46,2
87,10003,59,1
88,10003,80,1
89,10004,157,1
90,10004,45,1
91,10005,106,1
92,10005,112,1
93,10005,143,1
94,10005,152,1
95,10005,185,1
96,10005,2,1
97,10005,203,4
98,10005,225,2
99,10005,232,1
100,10005,284,3
101,10005,285,1
102,10005,295,2
103,10005,54,3
104,10005,85,1
105,10006,175,1
106,10007,1,1
107,10007,149,1
108,10007,273,1
109,10008,1,2
110,10008,100,1
111,10008,12,2
112,10008,128,7
113,10008,189,2
114,10008,194,1
115,10008,204,2
116,10008,207,2
117,10008,21,1
118,10008,214,1
119,10008,235,1
120,10008,277,1
121,10008,28,1
122,10008,34,3
123,10008,36,1
124,10008,4,1
125,10008,43,2
126,10008,54,1
127,10008,62,1
128,10008,72,1
129,10008,79,1
130,10008,8,2
131,10008,98,2
132,10009,106,2
133,10009,141,3
134,10009,153,1
135,10009,194,1
136,10009,2,3
137,10009,234,2
138,10009,257,1
139,10009,262,3
140,10009,288,1
141,10009,38,1
142,10009,4,1
143,10009,41,6
144,10009,48,1
145,10009,52,2
146,10009,81,1
147,1001,16,1
148,1001,188,1
149,1001,2,3
150,1001,223,1
151,1001,285,1
152,1001,33,1
153,1001,5,1
154,1001,52,1
155,1001,53,1
156,1001,92,2
157,10010,2,1
158,10013,206,1
159,10014,157,1
160,10014,176,1
161,10014,180,1
162,10014,205,2
163,10014,291,1
164,10014,4,2
165,10014,80,1
166,10014,92,1
167,10015,140,1
168,10016,137,2
169,10016,189,2
170,10016,260,1
171,10016,297,1
172,10016,4,2
173,10016,87,2
174,10016,97,2
175,10017,17,1
176,10017,179,1
177,10018,1,2
178,10018,164,2
179,10018,222,5
180,10018,237,1
181,10018,282,1
182,10018,32,3
183,10018,46,2
184,10019,121,3
185,10019,142,2
186,10019,22,3
187,10019,40,2
188,10019,42,2
189,10019,73,2
190,1002,144,1
191,1002,164,1
192,1002,172,1
193,1002,196,1
194,1002,227,1
195,1002,240,1
196,1002,25,2
197,1002,4,1
198,1002,89,2
199,10020,1,2
200,10020,104,1
201,10020,2,2
202,10020,209,1
203,10020,231,1
204,10020,260,1
205,10020,261,1
206,10020,265,3
207,10020,30,2
208,10020,35,3
209,10021,114,1
210,10021,138,1
211,10021,224,2
212,10021,28,1
213,10021,39,1
214,10021,40,2
215,10021,67,2
